items,support,ordered_statistics,label,label_encode
"['bao', 'cao_su']",0.01282774175,"[OrderedStatistic(items_base=frozenset({'bao'}), items_add=frozenset({'cao_su'}), confidence=0.8504672897196262, lift=45.70617388841688), OrderedStatistic(items_base=frozenset({'cao_su'}), items_add=frozenset({'bao'}), confidence=0.6893939393939393, lift=45.70617388841688)]",Thiết bị y tế,33.0
"['bvs', 'cánh']",0.003946997463,"[OrderedStatistic(items_base=frozenset({'cánh'}), items_add=frozenset({'bvs'}), confidence=0.5490196078431373, lift=24.190963341858485)]",Thiết bị y tế,33.0
"['bvs', 'diana']",0.009726529462,"[OrderedStatistic(items_base=frozenset({'bvs'}), items_add=frozenset({'diana'}), confidence=0.4285714285714286, lift=43.4326530612245), OrderedStatistic(items_base=frozenset({'diana'}), items_add=frozenset({'bvs'}), confidence=0.9857142857142859, lift=43.4326530612245)]",Thiết bị y tế,33.0
"['bvs', 'kotex']",0.005497603609,"[OrderedStatistic(items_base=frozenset({'bvs'}), items_add=frozenset({'kotex'}), confidence=0.2422360248447205, lift=42.960559006211184), OrderedStatistic(items_base=frozenset({'kotex'}), items_add=frozenset({'bvs'}), confidence=0.9750000000000001, lift=42.960559006211184)]",Thiết bị y tế,33.0
"['bvs', 'sensi']",0.003101212292,"[OrderedStatistic(items_base=frozenset({'sensi'}), items_add=frozenset({'bvs'}), confidence=0.9166666666666667, lift=40.39026915113872)]",Thiết bị y tế,33.0
"['bóng', 'khí_quản']",0.004087961658,"[OrderedStatistic(items_base=frozenset({'bóng'}), items_add=frozenset({'khí_quản'}), confidence=0.24576271186440682, lift=22.940008920606605), OrderedStatistic(items_base=frozenset({'khí_quản'}), items_add=frozenset({'bóng'}), confidence=0.3815789473684211, lift=22.940008920606605)]",Thiết bị y tế,33.0
"['mạch', 'bóng']",0.004792782633,"[OrderedStatistic(items_base=frozenset({'bóng'}), items_add=frozenset({'mạch'}), confidence=0.28813559322033905, lift=21.978859121560056), OrderedStatistic(items_base=frozenset({'mạch'}), items_add=frozenset({'bóng'}), confidence=0.36559139784946243, lift=21.978859121560056)]",Thiết bị y tế,33.0
"['nong', 'bóng']",0.00775303073,"[OrderedStatistic(items_base=frozenset({'bóng'}), items_add=frozenset({'nong'}), confidence=0.46610169491525427, lift=50.86962190352021), OrderedStatistic(items_base=frozenset({'nong'}), items_add=frozenset({'bóng'}), confidence=0.8461538461538461, lift=50.86962190352021)]",Thiết bị y tế,33.0
"['nội', 'bóng']",0.0033831406819999996,"[OrderedStatistic(items_base=frozenset({'bóng'}), items_add=frozenset({'nội'}), confidence=0.2033898305084746, lift=18.035593220338985), OrderedStatistic(items_base=frozenset({'nội'}), items_add=frozenset({'bóng'}), confidence=0.30000000000000004, lift=18.03559322033899)]",Thiết bị y tế,33.0
"['vành', 'bóng']",0.004369890048,"[OrderedStatistic(items_base=frozenset({'bóng'}), items_add=frozenset({'vành'}), confidence=0.2627118644067797, lift=37.2735593220339), OrderedStatistic(items_base=frozenset({'vành'}), items_add=frozenset({'bóng'}), confidence=0.62, lift=37.273559322033904)]",Thiết bị y tế,33.0
"['bóng', 'áp_lực']",0.004510854243,"[OrderedStatistic(items_base=frozenset({'bóng'}), items_add=frozenset({'áp_lực'}), confidence=0.2711864406779661, lift=41.82166543846721), OrderedStatistic(items_base=frozenset({'áp_lực'}), items_add=frozenset({'bóng'}), confidence=0.6956521739130435, lift=41.82166543846721)]",Thiết bị y tế,33.0
"['ống', 'bóng']",0.004369890048,"[OrderedStatistic(items_base=frozenset({'bóng'}), items_add=frozenset({'ống'}), confidence=0.2627118644067797, lift=6.539220933690158)]",Thiết bị y tế,33.0
"['bông', 'tăm']",0.007471102340000001,"[OrderedStatistic(items_base=frozenset({'bông'}), items_add=frozenset({'tăm'}), confidence=0.40458015267175573, lift=49.484337983679914), OrderedStatistic(items_base=frozenset({'tăm'}), items_add=frozenset({'bông'}), confidence=0.9137931034482758, lift=49.484337983679914)]",Thiết bị y tế,33.0
"['băng', 'cuộn']",0.003665069072,"[OrderedStatistic(items_base=frozenset({'băng'}), items_add=frozenset({'cuộn'}), confidence=0.20967741935483872, lift=29.749032258064517), OrderedStatistic(items_base=frozenset({'cuộn'}), items_add=frozenset({'băng'}), confidence=0.5199999999999999, lift=29.749032258064513)]",Thiết bị y tế,33.0
"['bơm', 'tiêm']",0.01409641951,"[OrderedStatistic(items_base=frozenset({'bơm'}), items_add=frozenset({'tiêm'}), confidence=0.7299270072992701, lift=38.93309917128588), OrderedStatistic(items_base=frozenset({'tiêm'}), items_add=frozenset({'bơm'}), confidence=0.7518796992481204, lift=38.93309917128588)]",Thiết bị y tế,33.0
"['hãng', 'bản']",0.004510854243,"[OrderedStatistic(items_base=frozenset({'bản'}), items_add=frozenset({'hãng'}), confidence=0.47058823529411764, lift=5.658225324027916)]",Thiết bị y tế,33.0
"['model', 'bản']",0.004087961658,"[OrderedStatistic(items_base=frozenset({'bản'}), items_add=frozenset({'model'}), confidence=0.4264705882352941, lift=11.00139037433155)]",Thiết bị y tế,33.0
"['máy', 'bản']",0.003665069072,"[OrderedStatistic(items_base=frozenset({'bản'}), items_add=frozenset({'máy'}), confidence=0.38235294117647056, lift=5.524260213250269)]",Thiết bị y tế,33.0
"['nẹp', 'bản']",0.003665069072,"[OrderedStatistic(items_base=frozenset({'bản'}), items_add=frozenset({'nẹp'}), confidence=0.38235294117647056, lift=12.615868673050615)]",Thiết bị y tế,33.0
"['dịch', 'bộ']",0.003524104877,"[OrderedStatistic(items_base=frozenset({'dịch'}), items_add=frozenset({'bộ'}), confidence=0.22935779816513763, lift=4.1719595389320165)]",Thiết bị y tế,33.0
"['kit', 'bộ']",0.005356639414,"[OrderedStatistic(items_base=frozenset({'kit'}), items_add=frozenset({'bộ'}), confidence=0.2923076923076923, lift=5.3170019723865884)]",Thiết bị y tế,33.0
"['thở', 'bộ']",0.003524104877,"[OrderedStatistic(items_base=frozenset({'thở'}), items_add=frozenset({'bộ'}), confidence=0.2136752136752137, lift=3.8866973482358103)]",Thiết bị y tế,33.0
"['bột', 'găng_tay']",0.004792782633,"[OrderedStatistic(items_base=frozenset({'bột'}), items_add=frozenset({'găng_tay'}), confidence=0.6181818181818182, lift=29.630958230958232), OrderedStatistic(items_base=frozenset({'găng_tay'}), items_add=frozenset({'bột'}), confidence=0.22972972972972974, lift=29.630958230958232)]",Thiết bị y tế,33.0
"['bột', 'y_tế']",0.004228925853,"[OrderedStatistic(items_base=frozenset({'bột'}), items_add=frozenset({'y_tế'}), confidence=0.5454545454545454, lift=9.84594031922276)]",Thiết bị y tế,33.0
"['chân', 'răng']",0.003665069072,"[OrderedStatistic(items_base=frozenset({'chân'}), items_add=frozenset({'răng'}), confidence=0.6341463414634146, lift=26.619136960600375)]",Thiết bị y tế,33.0
"['chỉ', 'dài']",0.004228925853,"[OrderedStatistic(items_base=frozenset({'dài'}), items_add=frozenset({'chỉ'}), confidence=0.2040816326530612, lift=8.088017329836962)]",Thiết bị y tế,33.0
"['chỉ', 'kim']",0.00718917395,"[OrderedStatistic(items_base=frozenset({'chỉ'}), items_add=frozenset({'kim'}), confidence=0.2849162011173184, lift=6.714935318027431)]",Thiết bị y tế,33.0
"['phẫu_thuật', 'chỉ']",0.005356639414,"[OrderedStatistic(items_base=frozenset({'chỉ'}), items_add=frozenset({'phẫu_thuật'}), confidence=0.2122905027932961, lift=8.096714122664745), OrderedStatistic(items_base=frozenset({'phẫu_thuật'}), items_add=frozenset({'chỉ'}), confidence=0.20430107526881722, lift=8.096714122664745)]",Thiết bị y tế,33.0
"['chỉ', 'số']",0.00775303073,"[OrderedStatistic(items_base=frozenset({'chỉ'}), items_add=frozenset({'số'}), confidence=0.30726256983240224, lift=7.757013061889899)]",Thiết bị y tế,33.0
"['sợi', 'chỉ']",0.003524104877,"[OrderedStatistic(items_base=frozenset({'sợi'}), items_add=frozenset({'chỉ'}), confidence=0.7352941176470588, lift=29.14065067367729)]",Thiết bị y tế,33.0
"['tan', 'chỉ']",0.0033831406819999996,"[OrderedStatistic(items_base=frozenset({'tan'}), items_add=frozenset({'chỉ'}), confidence=0.96, lift=38.04603351955307)]",Thiết bị y tế,33.0
"['tròn', 'chỉ']",0.003665069072,"[OrderedStatistic(items_base=frozenset({'tròn'}), items_add=frozenset({'chỉ'}), confidence=0.5, lift=19.81564245810056)]",Thiết bị y tế,33.0
"['chỉnh', 'nha']",0.0038060332679999997,"[OrderedStatistic(items_base=frozenset({'chỉnh'}), items_add=frozenset({'nha'}), confidence=0.8709677419354839, lift=143.6894223555889), OrderedStatistic(items_base=frozenset({'nha'}), items_add=frozenset({'chỉnh'}), confidence=0.627906976744186, lift=143.6894223555889)]",Thiết bị y tế,33.0
"['dụng_cụ', 'covidien']",0.003242176487,"[OrderedStatistic(items_base=frozenset({'covidien'}), items_add=frozenset({'dụng_cụ'}), confidence=0.5111111111111111, lift=19.389423648247174)]",Thiết bị y tế,33.0
"['covidien', 'mỹ']",0.005356639414,"[OrderedStatistic(items_base=frozenset({'covidien'}), items_add=frozenset({'mỹ'}), confidence=0.8444444444444444, lift=32.03469994058229), OrderedStatistic(items_base=frozenset({'mỹ'}), items_add=frozenset({'covidien'}), confidence=0.20320855614973263, lift=32.03469994058229)]",Thiết bị y tế,33.0
"['nhĩ_kỳ', 'các']",0.0033831406819999996,"[OrderedStatistic(items_base=frozenset({'nhĩ_kỳ'}), items_add=frozenset({'các'}), confidence=0.42105263157894735, lift=10.98142414860681)]",Thiết bị y tế,33.0
"['nẹp', 'các']",0.007612066535,"[OrderedStatistic(items_base=frozenset({'nẹp'}), items_add=frozenset({'các'}), confidence=0.25116279069767444, lift=6.5505471956224355)]",Thiết bị y tế,33.0
"['các', 'vít']",0.0052156752179999995,"[OrderedStatistic(items_base=frozenset({'vít'}), items_add=frozenset({'các'}), confidence=0.37755102040816324, lift=9.846863745498197)]",Thiết bị y tế,33.0
"['xương', 'các']",0.004228925853,"[OrderedStatistic(items_base=frozenset({'xương'}), items_add=frozenset({'các'}), confidence=0.23999999999999996, lift=6.259411764705881)]",Thiết bị y tế,33.0
"['khẩu_trang', 'cái']",0.004792782633,"[OrderedStatistic(items_base=frozenset({'cái'}), items_add=frozenset({'khẩu_trang'}), confidence=0.21935483870967745, lift=3.5690440958863574)]",Thiết bị y tế,33.0
"['có', 'khí_quản']",0.003665069072,"[OrderedStatistic(items_base=frozenset({'khí_quản'}), items_add=frozenset({'có'}), confidence=0.34210526315789475, lift=9.262957010847732)]",Thiết bị y tế,33.0
"['máu', 'cầm']",0.004087961658,"[OrderedStatistic(items_base=frozenset({'cầm'}), items_add=frozenset({'máu'}), confidence=0.6744186046511629, lift=31.68427537347914)]",Thiết bị y tế,33.0
"['cắt', 'dụng_cụ']",0.003101212292,"[OrderedStatistic(items_base=frozenset({'cắt'}), items_add=frozenset({'dụng_cụ'}), confidence=0.3793103448275862, lift=14.3894523326572)]",Thiết bị y tế,33.0
"['cỡ', 'khóa']",0.005356639414,"[OrderedStatistic(items_base=frozenset({'cỡ'}), items_add=frozenset({'khóa'}), confidence=0.2159090909090909, lift=12.060307802433785), OrderedStatistic(items_base=frozenset({'khóa'}), items_add=frozenset({'cỡ'}), confidence=0.2992125984251968, lift=12.060307802433785)]",Thiết bị y tế,33.0
