items,support,ordered_statistics,label,label_encode
"['model', 'asanzo']",0.003153880006,"[OrderedStatistic(items_base=frozenset({'asanzo'}), items_add=frozenset({'model'}), confidence=0.6515151515151516, lift=24.470406544786716)]","Điện máy, thiết bị gia dụng",39
"['led', 'bulb']",0.003667302332,"[OrderedStatistic(items_base=frozenset({'bulb'}), items_add=frozenset({'led'}), confidence=0.9259259259259259, lift=8.828023828023829)]","Điện máy, thiết bị gia dụng",39
"['đèn', 'bàn']",0.003593956286,"[OrderedStatistic(items_base=frozenset({'bàn'}), items_add=frozenset({'đèn'}), confidence=0.6202531645569621, lift=3.6434862755577857)]","Điện máy, thiết bị gia dụng",39
"['báo', 'đèn']",0.01364236468,"[OrderedStatistic(items_base=frozenset({'báo'}), items_add=frozenset({'đèn'}), confidence=0.788135593220339, lift=4.629659921570918)]","Điện máy, thiết bị gia dụng",39
"['nóng', 'bình']",0.004034032566,"[OrderedStatistic(items_base=frozenset({'bình'}), items_add=frozenset({'nóng'}), confidence=0.20522388059701493, lift=9.922065205885467)]","Điện máy, thiết bị gia dụng",39
"['bình', 'ắc_quy']",0.007407950711,"[OrderedStatistic(items_base=frozenset({'bình'}), items_add=frozenset({'ắc_quy'}), confidence=0.376865671641791, lift=21.058141668705648), OrderedStatistic(items_base=frozenset({'ắc_quy'}), items_add=frozenset({'bình'}), confidence=0.41393442622950816, lift=21.05814166870565)]","Điện máy, thiết bị gia dụng",39
"['led', 'bóng']",0.01921666422,"[OrderedStatistic(items_base=frozenset({'bóng'}), items_add=frozenset({'led'}), confidence=0.38472834067547723, lift=3.6681022355031168)]","Điện máy, thiết bị gia dụng",39
"['đèn', 'bóng']",0.03205222239,"[OrderedStatistic(items_base=frozenset({'bóng'}), items_add=frozenset({'đèn'}), confidence=0.6417033773861968, lift=3.769488947558555)]","Điện máy, thiết bị gia dụng",39
"['gas', 'bếp']",0.004034032566,"[OrderedStatistic(items_base=frozenset({'gas'}), items_add=frozenset({'bếp'}), confidence=0.8208955223880597, lift=35.30627619002778)]","Điện máy, thiết bị gia dụng",39
"['từ', 'bếp']",0.007407950711,"[OrderedStatistic(items_base=frozenset({'bếp'}), items_add=frozenset({'từ'}), confidence=0.31861198738170343, lift=20.784477684029397), OrderedStatistic(items_base=frozenset({'từ'}), items_add=frozenset({'bếp'}), confidence=0.4832535885167464, lift=20.7844776840294)]","Điện máy, thiết bị gia dụng",39
